Protein_ID,Cluster
BC.1,2
BC.2,1
BC.3,3
BC.4,3
BC.5,0
BC.6,0
BC.7,0
BC.8,0
BC.9,0
BC.10,0
BC.11,0
BC.12,0
BC.13,1
BC.14,1
BC.15,3
BC.16,3
BC.17,3
BC.18,0
BC.19,0
BC.20,0
BC.21,0
BC.22,0
BC.23,0
BC.24,1
BC.25,3
BC.26,3
BC.27,3
BC.28,3
BC.29,3
BC.30,3
BC.31,3
BC.32,3
BC.33,0
BC.34,0
BC.35,1
BC.36,1
BC.37,3
BC.38,3
BC.39,3
BC.40,3
BC.41,3
BC.42,3
BC.43,3
BC.44,3
BC.45,3
BC.46,1
BC.47,3
BC.48,3
BC.49,3
BC.50,3
BC.51,3
BC.52,3
BC.53,3
BC.54,3
BC.55,3
BC.56,3
BC.57,1
BC.58,1
BC.59,3
BC.60,3
BC.61,3
BC.62,3
BC.63,3
BC.64,3
BC.65,3
BC.66,3
BC.67,3
BC.68,1
BC.69,3
BC.70,3
BC.71,3
BC.72,3
BC.73,3
BC.74,3
BC.75,3
BC.76,3
BC.77,3
BC.78,3
BC.79,1
BC.80,1
BC.81,3
BC.82,3
BC.83,3
BC.84,3
BC.85,3
BC.86,3
BC.87,3
BC.88,3
BC.89,3
BC.90,1
BC.91,3
BC.92,3
BC.93,3
BC.94,3
BC.95,3
BC.96,3
BC.97,3
BC.98,3
BC.99,3
BC.100,3
BC.101,1
BC.102,1
BC.103,3
BC.104,3
BC.105,3
BC.106,3
BC.107,3
BC.108,3
BC.109,3
BC.110,3
BC.111,3
BC.112,1
BC.113,3
BC.114,3
BC.115,3
BC.116,3
BC.117,3
BC.118,3
BC.119,3
BC.120,3
BC.121,3
BC.122,3
BC.123,1
BC.124,3
BC.125,3
BC.126,3
BC.127,3
BC.128,3
BC.129,3
BC.130,3
BC.131,3
BC.132,3
BC.133,3
BC.134,1
BC.135,3
BC.136,3
BC.137,3
BC.138,3
BC.139,3
BC.140,3
